Instances,feature_ego_brake,feature_ego_speed,source,feature_scenarioTrafficLightDemand,feature_totalNPCs,feature_totalPedestrians,feature_isPedestrianScenario,feature_totalStaticObstacles,feature_totalRoadUsers,feature_obstaclesMinimumDistance,feature_typeObstacleHavingMinimumDistance,feature_speedObstacleWithMinimumDistance,feature_distanceObstacleWithMinimumDistance,feature_volumeObstacleWithMinimumDistance,feature_obstaclesMaximumSpeed,feature_typeObstacleHavingMaximumSpeed,feature_distanceObstacleWithMaximumSpeed, feature_speedObstacleWithMaximumSpeed,feature_volumeObstacleWithMaximumSpeed,feature_obstaclesMaximumVolume,feature_typeObstacleHavingMaximumVolume,algo_collision
scenario57,0,8.46,SpeedUp,3,1,0,0,1,2,8.52,3,0,8.52,0,3,1,12.55,3,54.54,54.54,1,0
scenario58,0,8.83,SpeedUp,1,1,0,0,1,2,5.03,3,0,5.03,0.01,3,1,17.64,3,56.9,56.9,1,0
scenario231,14.5,6.91,SpeedCut,0,1,0,0,1,2,20.76,3,0,20.76,3.21,1,1,23.5,1,6.13,6.13,1,1
scenario557,0,9.21,SpeedUp,3,0,1,1,1,2,4.49,2,1,4.49,0.09,1,2,4.49,1,0.09,0.09,2,0
scenario661,0,4.81,SpeedUp,2,0,1,1,1,2,6.97,2,1,6.97,0.21,1,2,6.97,1,0.21,0.3,3,1
scenario766,0,7.07,SpeedUp,3,1,0,0,1,2,6.93,3,0,6.93,0.15,3,1,9.15,3,5.92,5.92,1,0
scenario866,31.1,1.59,Cruise,0,0,1,1,1,2,3.87,2,2,3.87,0.2,2,2,3.87,2,0.2,2.45,3,1
scenario903,0,6.25,SpeedUp,0,0,1,1,1,2,7.8,2,1,7.8,0.11,1,2,7.8,1,0.11,2.23,3,1
scenario1041,20.14,3.44,SpeedCut,1,0,1,1,1,2,3.28,2,2,3.28,0.4,2,2,3.28,2,0.4,0.4,2,1
scenario1045,14.5,1.24,SpeedCut,1,0,1,1,1,2,3.44,3,0,3.44,0.11,2,2,4.01,2,0.18,0.18,2,1
scenario1046,14.5,0.3,SpeedCut,1,0,1,1,1,2,3.84,2,2,3.84,0.17,2,2,3.84,2,0.17,0.17,2,1
scenario1051,48.85,0,SpeedCut,1,0,1,1,1,2,3.94,2,1,3.94,0.22,1,2,3.94,1,0.22,0.22,2,1
scenario1166,0,5.9,SpeedUp,0,1,0,0,1,2,21.63,3,0,21.63,3.14,1,1,24.15,1,3.15,3.15,1,1
scenario1187,42.09,5.58,EmergencyBrake,1,1,0,0,1,2,4.31,3,0,4.31,0.01,1,1,10.87,1,10.85,10.85,1,0
scenario1188,40.57,5.25,EmergencyBrake,1,1,0,0,1,2,5.61,3,0,5.61,0.03,1,1,9.2,1,9.16,9.16,1,0
scenario1189,18.6,3.77,SpeedCut,1,1,0,0,1,2,6.55,3,0,6.55,0.01,1,1,8.18,1,10.02,10.02,1,0
scenario1248,0,8.55,SpeedUp,1,0,1,1,1,2,3.43,3,0,3.43,0.02,1,2,7.82,1,0.13,0.13,2,0
scenario1249,0,8.62,SpeedUp,3,0,1,1,1,2,4.07,3,0,4.07,0.03,1,2,6.85,1,0.13,0.13,2,0
scenario1263,34.89,2.22,EmergencyBrake,1,0,1,1,1,2,3.75,2,2,3.75,0.28,2,2,3.75,2,0.28,0.28,2,1
scenario1265,14.5,0.46,SpeedCut,1,0,1,1,1,2,3.78,2,2,3.78,0.23,2,2,3.78,2,0.23,0.23,2,1
scenario1266,14.5,0.21,SpeedCut,1,0,1,1,1,2,3.75,2,2,3.75,0.17,2,2,3.75,2,0.17,0.17,2,1
scenario1340,0,6.06,SpeedUp,0,0,1,1,1,2,6.68,2,1,6.68,0.09,1,2,6.68,1,0.09,1.4,3,1
scenario1406,0,4.69,SpeedUp,3,0,1,1,1,2,3.57,2,2,3.57,0.29,2,2,3.57,2,0.29,0.29,2,1
scenario1407,43.7,4.36,EmergencyBrake,3,0,1,1,1,2,3.28,3,0,3.28,0.02,2,2,4.09,2,0.33,0.33,2,1
scenario1408,0,3.96,SpeedUp,3,0,1,1,1,2,3.2,3,0,3.2,0.07,2,2,4.24,2,0.33,0.33,2,1
scenario1483,0,2.44,ChangeLaneToLeft,3,0,1,1,1,2,3.88,2,2,3.88,0.07,2,2,3.88,2,0.07,0.07,2,1
scenario1484,23.24,1.21,ChangeLaneToLeft,3,0,1,1,1,2,3.79,2,2,3.79,0.22,2,2,3.79,2,0.22,0.22,2,1
scenario1485,20.84,0.41,SpeedCut,3,0,1,1,1,2,3.71,2,1,3.71,0.17,1,2,3.71,1,0.17,0.17,2,1
scenario1486,48.66,0.01,SpeedCut,3,0,1,1,1,2,3.66,2,1,3.66,0.21,1,2,3.66,1,0.21,0.21,2,1
scenario1579,0,5.56,SpeedUp,1,1,0,0,1,2,5.9,3,0,5.9,0.06,3,1,22.16,3,8.8,8.8,1,0
scenario1951,0,0,SpeedUp,1,1,0,0,1,2,5.05,1,1,5.05,7.12,1,1,5.05,1,7.12,7.12,1,0
scenario2328,0,9.12,SpeedUp,1,0,1,1,1,2,3.47,2,1,3.47,0.19,1,2,3.47,1,0.19,0.19,2,0
scenario2329,0,9.19,SpeedUp,1,0,1,1,1,2,5.85,3,0,5.85,0.04,1,2,6.97,1,0.08,0.08,2,0
scenario2614,14.5,9.07,SpeedCut,1,0,1,1,1,2,8.11,3,0,8.11,0.03,1,2,12.36,1,0.16,0.16,2,0
scenario2681,0,0,SpeedUp,1,1,0,0,1,2,5.56,1,1,5.56,9.55,1,1,5.56,1,9.55,9.55,1,1
scenario2682,0,0,SpeedUp,1,1,0,0,1,2,5.57,1,1,5.57,9.59,1,1,5.57,1,9.59,9.59,1,1
scenario2776,21.02,9.32,Cruise,1,0,1,1,1,2,6.89,3,0,6.89,0.09,2,2,8.31,2,0.03,0.09,3,0
scenario2777,22.76,8.99,Cruise,1,0,1,1,1,2,5.68,3,0,5.68,0.06,2,2,11.55,2,0.09,0.09,2,0
