feature_direct_distance,feature_full_road_diversity,feature_max_angle,feature_max_pivot_off,feature_mean_angle,feature_mean_pivot_off,feature_mean_road_diversity,feature_median_angle,feature_median_pivot_off,feature_min_angle,feature_min_pivot_off,feature_num_r_turns,feature_num_straights,feature_road_distance,algo_safety,feature_std_angle,feature_std_pivot_off,feature_total_angle,Instances
162.8892811,96.1846236,28.16255263,76.72324802,-3.634207978,32.83654051,8.744056691,1.022981694,39.37511072,-39.92474283,0,4,4,180.6009121,1,20.56383428,29.65264047,-39.97628775,C:\Users\Documents\SDC-Scissors\tests\01292_test.json
103.0623673,289.8234425,95.22824401,415.5032869,0.699230586,63.10301615,32.20260472,-3.474067086,24.15135025,-43.36970556,0,3,4,200.70177,1,39.07582921,133.770314,6.293075275,C:\Users\Documents\SDC-Scissors\tests\01291_test.json
81.89999605,106.464976,41.56182446,76.79879202,-2.791537178,29.49643716,10.6464976,-3.121896205,32.95004376,-48.28953869,0,4,3,170.8002827,1,25.50088834,24.73613684,-27.91537178,C:\Users\Documents\SDC-Scissors\tests\01290_test.json
193.2308797,112.5259823,55.21097003,65.94456243,2.00239819,15.1032902,8.65584479,-1.975950496,0,-31.82541113,0,1,9,220.4605449,1,18.79849238,24.94204933,26.03117647,C:\Users\Documents\SDC-Scissors\tests\01289_test.json
133.2864035,235.5559045,19.71493857,63.04329094,-16.92762478,33.7955289,26.17287828,-11.15685445,37.13407322,-80.54786118,0,5,2,180.7728834,1,30.29793569,22.20126117,-152.348623,C:\Users\Documents\SDC-Scissors\tests\01288_test.json
89.32411982,86.18544757,42.5246944,88.97407718,-29.85710569,32.97657433,10.77318095,9.846439185,31.77998714,-344.8195576,0,1,2,130.4662,0,128.0327225,33.31844615,-238.8568455,C:\Users\Documents\SDC-Scissors\tests\01287_test.json
127.1248092,193.4997805,37.20896792,106.3291519,1.984028757,46.19192612,21.49997561,3.01110366,46.76569705,-42.02237828,0,3,2,180.5499272,1,23.48702648,33.66112837,17.85625882,C:\Users\Documents\SDC-Scissors\tests\01286_test.json
139.8564943,106.0902425,35.81394611,115.5853156,-3.683896547,43.37057662,9.644567503,-4.636215648,49.05666234,-26.6794027,0,5,4,190.3576603,1,17.48920667,39.93699876,-40.52286202,C:\Users\Documents\SDC-Scissors\tests\01285_test.json
117.7696457,462.3458739,47.65436403,76.63324829,-8.509140096,32.96430937,42.03144308,-1.732807538,31.35740638,-109.3050029,0,4,4,230.8771943,1,41.14182869,31.1668568,-93.60054106,C:\Users\Documents\SDC-Scissors\tests\01284_test.json
102.5567048,150.8323908,8.356374367,120.443968,-11.90785511,55.02423437,12.5693659,-8.124308994,56.67428195,-55.44726196,0,8,2,220.7235532,1,18.16659204,36.2529712,-142.8942613,C:\Users\Documents\SDC-Scissors\tests\01283_test.json
